No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,lebanese language,3600,44,7,$4.25,1,36,https://www.thespokenarabic.com/course/lebanese-arabic-101-free-mini-crash-course
2,how to you say i love you in arabic,3600,59,7,$0.84,1,46,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
3,grandmother in arabic language,2400,21,10,$0,1,22,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
4,lebanon arabic language,1300,17,9,$10.14,4,24,https://www.thespokenarabic.com/blog/lebanese-arabic-vs-msa-whats-the-difference-and-which-one-should-you-learn
5,lebanese pronounce,1000,25,2,$0,1,29,https://www.thespokenarabic.com/blog/the-ultimate-lebanese-accent-guide-mastering-the-sounds-of-lebanese-arabic
6,lebanese pronunciation,1000,28,2,$0,1,30,https://www.thespokenarabic.com/blog/the-ultimate-lebanese-accent-guide-mastering-the-sounds-of-lebanese-arabic
7,what language do lebanese people speak,1000,55,2,$0,1,31,https://www.thespokenarabic.com/course/lebanese-arabic-101-free-mini-crash-course
8,arabic language lesson,720,62,1,$8.97,48,62,https://www.thespokenarabic.com/
9,lebanese for grandmother,480,8,31,$0,1,18,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
10,grandmother in lebanese,480,8,31,$0,1,18,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
11,grandma in lebanese,480,7,46,$0,1,23,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
12,lebanese for grandma,480,9,22,$0,1,19,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
13,marhaban meaning,320,70,0,$0,1,21,https://www.thespokenarabic.com/blog/lebanese-greetings-101
14,romantic arabic phrases,320,10,8,$0,1,22,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
15,love phrases in arabic,320,12,8,$0,1,22,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
16,thank you in lebanese,320,6,21,$0,1,30,https://www.thespokenarabic.com/blog/how-to-say-thank-you-in-lebanese-arabic-shukran-yeslamo-tekram-3aynak
17,how to pronounce lebanese,320,40,0,$0,1,22,https://www.thespokenarabic.com/blog/the-ultimate-lebanese-accent-guide-mastering-the-sounds-of-lebanese-arabic
18,arabic romantic phrases,320,10,6,$0,1,18,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
19,hello lebanese,260,5,42,$0,1,20,https://www.thespokenarabic.com/blog/lebanese-greetings-101
20,how to say hi in lebanese,260,11,6,$0,1,30,https://www.thespokenarabic.com/blog/lebanese-greetings-101
21,how do you say hello in lebanese,260,9,8,$0,1,26,https://www.thespokenarabic.com/blog/lebanese-greetings-101
22,how to say hello in lebanese,260,9,8,$0,1,31,https://www.thespokenarabic.com/blog/lebanese-greetings-101
23,lebanese grandpa,260,10,5,$0,1,28,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
24,grandfather in lebanese,260,8,17,$0,1,22,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
25,grandpa in lebanese,260,8,12,$0,1,22,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
26,lebanese for hello,260,7,12,$0,1,31,https://www.thespokenarabic.com/blog/lebanese-greetings-101
27,lebanese grandfather,260,7,17,$0,1,20,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
28,hello in lebanese,260,11,5,$0,1,31,https://www.thespokenarabic.com/blog/lebanese-greetings-101
29,learn arabic in lebanon,210,24,0,$9.12,50,41,https://www.thespokenarabic.com/course/lebanese-arabic-accelerator
30,lebanese language learn,210,7,9,$9.12,50,25,https://www.thespokenarabic.com/
31,learn arabic lebanon,320,26,0,$5.83,66,35,https://www.thespokenarabic.com/course/lebanese-arabic-accelerator
32,how to say thank you in moroccan,210,39,0,$0,1,23,https://www.thespokenarabic.com/blog/how-to-say-thank-you-in-lebanese-arabic-shukran-yeslamo-tekram-3aynak
33,flirting in arabic,170,9,7,$0,1,26,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
34,how do you say thank you in moroccan,210,38,0,$0,1,20,https://www.thespokenarabic.com/blog/how-to-say-thank-you-in-lebanese-arabic-shukran-yeslamo-tekram-3aynak
35,i love you in arabic to her,170,17,1,$0,1,47,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
36,learn lebanese language,320,7,13,$5.83,66,19,https://www.thespokenarabic.com/
37,learn lebanese arabic,210,2,34,$9.12,50,27,https://www.thespokenarabic.com/
38,arabic word for grandmother,210,23,0,$0,1,28,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
39,teta arabic meaning,170,22,0,$0,1,28,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
40,teta meaning arabic,170,8,11,$0,1,20,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
41,i love you so much in arabic,170,11,2,$0,1,21,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
42,ana bahebak meaning,140,44,0,$0,1,21,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
43,how do you say thank you in lebanese,140,10,4,$0,1,30,https://www.thespokenarabic.com/blog/how-to-say-thank-you-in-lebanese-arabic-shukran-yeslamo-tekram-3aynak
44,lebanese word,140,12,2,$0,1,19,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
45,kifak in arabic,140,4,22,$0,1,21,https://www.thespokenarabic.com/blog/lebanese-greetings-101
46,lebanese words,140,5,13,$0,1,28,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
47,good morning in lebanese,140,20,0,$0,1,29,https://www.thespokenarabic.com/blog/lebanese-greetings-101
48,kifak arabic,140,8,9,$0,1,28,https://www.thespokenarabic.com/blog/lebanese-greetings-101
49,lebanon accent,140,5,13,$0,1,33,https://www.thespokenarabic.com/blog/the-ultimate-lebanese-accent-guide-mastering-the-sounds-of-lebanese-arabic
50,lebanon words,140,5,13,$0,1,29,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
51,lebanese accent,140,7,6,$0,1,30,https://www.thespokenarabic.com/blog/the-ultimate-lebanese-accent-guide-mastering-the-sounds-of-lebanese-arabic
52,how to say thank you in lebanese,140,16,1,$0,1,31,https://www.thespokenarabic.com/blog/how-to-say-thank-you-in-lebanese-arabic-shukran-yeslamo-tekram-3aynak
53,lebanese family,140,23,0,$0,1,42,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
54,i love you in lebanese,110,7,10,$0,1,31,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
55,arabic phrases lebanese,110,3,17,$2.94,3,17,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
56,lebanese i love you,110,8,10,$0,1,33,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
57,lebanese language phrases,110,3,17,$2.94,3,14,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
58,lebanese arabic phrases,110,3,17,$2.94,3,43,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
59,lebanese arabic expressions,110,3,17,$2.94,3,23,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
60,translation from english to lebanese,110,94,0,$1.20,5,29,https://www.thespokenarabic.com/
61,lebanese arabic words,110,5,7,$2.94,3,21,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
62,lebanese slangs,90,3,8,$0,1,17,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
63,lebanese slang,90,4,14,$0,1,17,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
64,greetings in lebanese,90,5,8,$0,1,28,https://www.thespokenarabic.com/blog/lebanese-greetings-101
65,kifak meaning,90,2,27,$0,1,26,https://www.thespokenarabic.com/blog/lebanese-greetings-101
66,how to say grandma in lebanese,90,9,5,$0,1,21,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
67,lebanon greetings,90,4,14,$0,1,25,https://www.thespokenarabic.com/blog/lebanese-greetings-101
68,how do you say grandma in lebanese,90,9,4,$0,1,23,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
69,how to say grandmother in lebanese,90,8,5,$0,1,17,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
70,lebanese greetings,90,4,14,$0,1,14,https://www.thespokenarabic.com/blog/lebanese-greetings-101
71,arabic lebanese dialect,90,27,0,$3.91,5,25,https://www.thespokenarabic.com/
72,how do you say grandmother in lebanese,90,8,8,$0,1,17,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
73,lebanese phrases,70,2,21,$0,1,24,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
74,do they speak arabic in lebanon,70,37,0,$0,1,48,https://www.thespokenarabic.com/course/lebanese-arabic-accelerator
75,i love you in arabic lebanese,70,7,6,$0,1,28,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
76,arabic lesson,70,29,0,$18.46,28,79,https://www.thespokenarabic.com/
77,how do you say good morning in lebanese,70,23,0,$0,1,23,https://www.thespokenarabic.com/blog/lebanese-greetings-101
78,lebanese word for grandmother,70,31,0,$0,1,22,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
79,how to say i love you in lebanese,70,8,3,$0,1,27,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
80,i love you in arabic male,70,61,0,$0,1,36,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
81,fusha arabic translation,70,91,0,$0.83,2,21,https://www.thespokenarabic.com/
82,lebanese sayings,70,3,11,$0,1,16,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
83,thank you in syrian,70,33,0,$0,1,22,https://www.thespokenarabic.com/blog/how-to-say-thank-you-in-lebanese-arabic-shukran-yeslamo-tekram-3aynak
84,thank you in lebanese arabic,70,11,1,$0,1,23,https://www.thespokenarabic.com/blog/how-to-say-thank-you-in-lebanese-arabic-shukran-yeslamo-tekram-3aynak
85,i love you in lebanese arabic,70,7,6,$0,1,32,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
86,do lebanese people speak arabic,50,32,0,$0,1,42,https://www.thespokenarabic.com/
87,cheers in lebanese arabic,50,7,3,$0,1,17,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
88,lebanese arabic translation to english,50,29,0,$3.15,7,22,https://www.thespokenarabic.com/
89,good morning in arabic lebanese,40,24,0,$0,1,24,https://www.thespokenarabic.com/blog/lebanese-greetings-101
90,lebanese quotes,50,9,1,$0,1,27,https://www.thespokenarabic.com/blog/lebanese-proverbs-that-reveal-the-culture
91,cheers in arabic lebanese,50,9,2,$0,1,16,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
92,how are you in lebanese,50,17,0,$0,1,19,https://www.thespokenarabic.com/blog/lebanese-greetings-101
93,good night in lebanese,50,42,0,$0,1,27,https://www.thespokenarabic.com/blog/lebanese-greetings-101
94,lebanese arabic to english translator,50,48,0,$3.15,7,22,https://www.thespokenarabic.com/
95,lebanese vs arabic,50,10,1,$0,1,32,https://www.thespokenarabic.com/blog/lebanese-arabic-vs-msa-whats-the-difference-and-which-one-should-you-learn
96,good morning in lebanese arabic,40,19,0,$0,1,27,https://www.thespokenarabic.com/blog/lebanese-greetings-101
97,hello in lebanese arabic,50,9,1,$0,1,30,https://www.thespokenarabic.com/blog/lebanese-greetings-101
98,kifik,50,6,4,$0,1,24,https://www.thespokenarabic.com/blog/lebanese-greetings-101
99,goodnight in lebanese,50,23,0,$0,1,23,https://www.thespokenarabic.com/blog/lebanese-greetings-101
100,how to learn lebanese arabic,50,8,3,$4.79,42,30,https://www.thespokenarabic.com/
101,lebanese arabic institute,50,12,0,$81.29,8,31,https://www.thespokenarabic.com/course/lebanese-arabic-accelerator
102,funny lebanese sayings,40,42,0,$0,1,18,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
103,cheers in arabic lebanon,40,9,1,$0,1,15,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
104,grandma in syrian,40,29,0,$0,1,23,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
105,arabic private lessons,40,78,0,$0,23,41,https://www.thespokenarabic.com/tutoring
106,goodnight in arabic lebanese,40,37,0,$0,1,22,https://www.thespokenarabic.com/blog/lebanese-greetings-101
107,lebanese love,40,7,3,$0,1,29,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
108,goodbye in lebanese,40,4,6,$0,1,15,https://www.thespokenarabic.com/blog/lebanese-greetings-101
109,lebanese translation to english,30,87,0,$5,18,30,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
110,good night in arabic lebanese,40,21,0,$0,1,23,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
111,lebanese names for grandparents,40,11,0,$0,1,16,https://www.thespokenarabic.com/blog/family-members-in-lebanese-arabic
112,is arabic a hard language,40,59,0,$0,1,38,https://www.thespokenarabic.com/blog/the-hardest-and-easiest-arabic-dialects-to-learn-a-complete-breakdown
113,lebanese phrases funny,40,16,0,$0,1,28,https://www.thespokenarabic.com/blog/150-essential-lebanese-arabic-phrases-for-real-life
114,love in lebanese,40,9,1,$0,1,31,https://www.thespokenarabic.com/blog/i-love-you-in-lebanese-arabic
