No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"which arabic dialect is closest to msa","informational","30","US$0.00","1","26"
2,"closest dialect to fusha",null,"10","US$0.00","2","6"
3,"which dialect is closest to modern standard arabic",null,"0","US$0.00","1","4"
4,"which arabic dialect to learn","informational","90","US$0.00","4","24"
5,"which arabic dialect is closest to fusha","informational","40","US$0.00","1","20"
6,"which arabic dialect is closest to quran","informational","30","US$0.00","1","25"
7,"where is modern standard arabic spoken","commercial, informational, transactional","30","US$0.00","1","40"
8,"closest language to thai",null,"20","US$0.00","1","5"
9,"which language is closest to french",null,"20","US$0.00","1","5"
10,"can different arabic dialects understand each other",null,"20","US$0.00","1","5"
11,"fusha dialect",null,"10","US$0.00","1","18"
12,"which arabic dialect is closest to classical arabic",null,"10","US$0.00","1","5"
13,"does anyone speak modern standard arabic",null,"10","US$0.00","1","5"
14,"what arabic dialect is closest to msa",null,"0","US$0.00","1","4"
15,"which arabic dialect is most similar to msa",null,"0","US$0.00","1","4"
16,"what dialect is closest to msa",null,"0","US$0.00","1","4"
17,"what arabic dialect is most similar to msa",null,"0","US$0.00","1","4"
18,"msa arabic phrases",null,"0","US$0.00","1","12"
19,"which arabic dialect is closer to msa",null,"0","US$0.00","1","4"
20,"which arabic is closest to msa",null,"0","US$0.00","1","4"
21,"closest language to cantonese",null,"0","US$0.00","1","4"
22,"language closest to farsi",null,"0","US$0.00","1","4"
23,"which languages are most similar to russian",null,"0","US$0.00","1","4"
24,"what language is closest to yiddish",null,"0","US$0.00","1","4"
25,"which languages are closest to russian",null,"0","US$0.00","1","4"
26,"how close is farsi to hindi",null,"0","US$0.00","1","4"
27,"what is the closest dialect to fusha",null,"0","US$0.00","1","4"
28,"closest dialect to fusha arabic",null,"0","US$0.00","1","4"
29,"is saudi dialect close to fusha",null,"0","US$0.00","1","4"
30,"fusha or dialect",null,"0","US$0.00","1","12"
31,"what is the closest language to dari",null,"0","US$0.00","1","4"
32,"is yemeni dialect close to fusha",null,"0","US$0.00","1","4"
33,"what is the closest dialect to fusha arabic",null,"0","US$0.00","1","4"
34,"closest dialect to old english",null,"0","US$0.00","1","4"
35,"how close is urdu to farsi",null,"0","US$0.00","1","4"
36,"arabic dialect closest to msa",null,"0","US$0.00","1","4"
37,"what dialect is modern standard arabic",null,"0","US$0.00","1","4"
38,"difference between modern standard arabic and dialects",null,"0","US$0.00","1","4"
39,"what dialect is modern standard arabic based on",null,"0","US$0.00","1","4"
40,"which arabic dialect is closest to standard arabic",null,"0","US$0.00","1","4"
41,"what dialect is closest to modern standard arabic",null,"0","US$0.00","1","4"
